zip,state,2018-11
79936,TX,96750.0
77449,TX,150000.0
77084,TX,149000.0
10467,NY,164500.0
60640,IL,134900.0
37013,TN,171750.0
32162,FL,199900.0
11375,NY,278500.0
11235,NY,259000.0
78660,TX,227588.0
28269,NC,135000.0
30349,GA,120000.0
94565,CA,425000.0
78613,TX,234900.0
75052,TX,170000.0
20009,DC,257400.0
37042,TN,100000.0
10462,NY,175000.0
60613,IL,149995.0
30044,GA,145000.0
77036,TX,78000.0
10463,NY,224900.0
60629,IL,129450.0
60625,IL,145000.0
85032,AZ,159900.0
78704,TX,218000.0
33160,FL,169900.0
78245,TX,137000.0
21234,MD,159000.0
23464,VA,149900.0
30096,GA,145000.0
75243,TX,94950.0
08701,NJ,195000.0
11229,NY,227000.0
77379,TX,145000.0
78666,TX,205000.0
60619,IL,84000.0
33139,FL,184900.0
33411,FL,132000.0
44107,OH,59450.0
33025,FL,135000.0
48197,MI,185450.0
02169,MA,315000.0
23462,VA,149777.0
90044,CA,425000.0
44035,OH,67800.0
90805,CA,449900.0
90650,CA,475000.0
11234,NY,202500.0
85710,AZ,144450.0
28027,NC,124900.0
19143,PA,78950.0
37075,TN,170000.0
60617,IL,89000.0
30281,GA,132850.0
32210,FL,124900.0
85225,AZ,168250.0
94558,CA,491750.0
80134,CO,280000.0
91910,CA,400000.0
87114,NM,149900.0
06010,CT,135450.0
17603,PA,129122.0
85308,AZ,195423.5
89108,NV,155000.0
85281,AZ,179000.0
48180,MI,72964.5
94533,CA,339250.0
43055,OH,89777.0
15601,PA,72450.0
95608,CA,299950.0
44060,OH,89450.0
97229,OR,262000.0
85364,AZ,115000.0
80013,CO,299950.0
33024,FL,163500.0
43123,OH,119900.0
20906,MD,218700.0
98012,WA,325000.0
76028,TX,165450.0
33908,FL,154900.0
65807,MO,99900.0
33647,FL,122200.0
60620,IL,90250.0
95823,CA,275000.0
92677,CA,420000.0
33009,FL,164900.0
45011,OH,74700.0
06902,CT,199250.0
89121,NV,179000.0
92345,CA,245700.0
92804,CA,399000.0
65203,MO,88000.0
27587,NC,175000.0
08753,NJ,235000.0
92126,CA,369000.0
46307,IN,149850.0
75228,TX,168700.0
99301,WA,207500.0
29732,SC,119900.0
60016,IL,127250.0
43130,OH,100000.0
28314,NC,62750.0
27610,NC,168000.0
87120,NM,152500.0
91911,CA,410000.0
94536,CA,575000.0
07002,NJ,269000.0
90280,CA,434900.0
23320,VA,154900.0
22191,VA,284950.0
89117,NV,160000.0
19111,PA,139900.0
34135,FL,161450.0
46227,IN,84900.0
30080,GA,152000.0
21117,MD,164900.0
60628,IL,74900.0
32244,FL,124400.0
90201,CA,441999.0
30052,GA,149900.0
92101,CA,405000.0
32822,FL,112450.0
32218,FL,119470.0
07093,NJ,258298.0
33186,FL,175000.0
