Zip,City,State,2018-11
10025,New York,NY,1300000.0
60657,Chicago,IL,585000.0
10023,New York,NY,2250000.0
77494,Katy,TX,399900.0
60614,Chicago,IL,799000.0
79936,El Paso,TX,220000.0
10002,New York,NY,1625000.0
60640,Chicago,IL,410000.0
94109,San Francisco,CA,2270000.0
11226,New York,NY,829500.0
10016,New York,NY,1505000.0
32162,The Villages,FL,349900.0
11375,New York,NY,995000.0
11235,New York,NY,936499.5
60647,Chicago,IL,539000.0
37211,Nashville,TN,402874.5
10029,New York,NY,921500.0
10009,New York,NY,1950000.0
60618,Chicago,IL,549650.0
77573,League City,TX,349900.0
77584,Pearland,TX,349450.0
28269,Charlotte,NC,330000.0
20002,Washington,DC,729949.5
78130,New Braunfels,TX,303749.5
30349,Riverdale,GA,374495.0
79912,El Paso,TX,249835.0
90046,Los Angeles,CA,1999000.0
78613,Cedar Park,TX,493990.0
75052,Grand Prairie,TX,355000.0
20009,Washington,DC,799555.0
37042,Clarksville,TN,239900.0
77433,Cypress,TX,389450.0
73099,Yukon,OK,247873.5
77429,Cypress,TX,379925.0
77479,Sugar Land,TX,475000.0
63376,Saint Peters,MO,309999.0
60613,Chicago,IL,510000.0
30044,Lawrenceville,GA,365000.0
11230,New York,NY,824000.0
10463,New York,NY,812450.0
30043,Lawrenceville,GA,372400.0
11209,New York,NY,1068000.0
60625,Chicago,IL,499000.0
07030,Hoboken,NJ,904997.0
28277,Charlotte,NC,424450.0
75287,Dallas,TX,531250.0
85032,Phoenix,AZ,412500.0
78704,Austin,TX,699000.0
33160,Sunny Isles Beach,FL,1150000.0
77077,Houston,TX,399000.0
78245,San Antonio,TX,311900.0
23464,Virginia Beach,VA,360000.0
30096,Duluth,GA,400000.0
78521,Brownsville,TX,195000.0
75243,Dallas,TX,445000.0
11214,New York,NY,725000.0
98052,Redmond,WA,990000.0
08701,Lakewood,NJ,659000.0
11221,New York,NY,850000.0
60610,Chicago,IL,649000.0
11229,New York,NY,819000.0
77379,Tomball,TX,359990.0
78666,San Marcos,TX,495000.0
10019,New York,NY,1795000.0
30024,Suwanee,GA,444250.0
94110,San Francisco,CA,1699800.0
33139,Miami Beach,FL,905000.0
33411,Royal Palm Beach,FL,459450.0
44107,Lakewood,OH,292000.0
78745,Austin,TX,450000.0
75067,Lewisville,TX,390047.0
33025,Miramar,FL,469995.0
11377,New York,NY,867000.0
66062,Olathe,KS,380950.0
23462,Virginia Beach,VA,357450.0
95630,Folsom,CA,646990.0
11234,New York,NY,775000.0
28027,Concord,NC,359912.0
11355,New York,NY,767444.0
60611,Chicago,IL,765000.0
10314,New York,NY,692450.0
37075,Hendersonville,TN,431445.0
90026,Los Angeles,CA,1199000.0
30281,Stockbridge,GA,349900.0
32210,Jacksonville,FL,430000.0
85225,Chandler,AZ,427450.0
11215,New York,NY,1180000.0
11211,New York,NY,1150000.0
80134,Parker,CO,610900.0
87114,Albuquerque,NM,315000.0
06010,Bristol,CT,335000.0
78240,San Antonio,TX,319945.0
17603,Lancaster,PA,338375.0
85308,Glendale,AZ,425000.0
93722,Fresno,CA,369731.5
85281,Tempe,AZ,426350.0
87111,Albuquerque,NM,399000.0
94533,Fairfield,CA,567500.0
43081,Westerville,OH,322900.0
43055,Newark,OH,359900.0
15601,Greensburg,PA,285625.0
95608,Carmichael,CA,649950.0
44060,Mentor,OH,279900.0
97229,Portland,OR,683950.0
11238,New York,NY,1199500.0
85364,Yuma,AZ,259900.0
11385,New York,NY,739000.0
77459,Missouri City,TX,384800.0
33024,Pembroke Pines,FL,558635.0
91709,Chino Hills,CA,748800.0
43123,Grove City,OH,302300.0
90066,Los Angeles,CA,1525000.0
98012,Bothell,WA,749995.0
76028,Burleson,TX,384950.0
14850,Ithaca,NY,419000.0
34787,Winter Garden,FL,421990.0
33908,Fort Myers,FL,499999.0
65807,Springfield,MO,245000.0
33647,Tampa,FL,374900.0
76063,Mansfield,TX,399500.0
44256,Medina,OH,299900.0
79938,El Paso,TX,190000.0
92677,Laguna Niguel,CA,1281000.0
30040,Cumming,GA,420900.0
75056,The Colony,TX,463990.0
33009,Hallandale,FL,541950.0
45011,Hamilton,OH,355000.0
06902,Stamford,CT,939900.0
27410,Greensboro,NC,279000.0
89121,Las Vegas,NV,449999.0
10028,New York,NY,2172500.0
07302,Jersey City,NJ,925000.0
65203,Columbia,MO,335000.0
27587,Wake Forest,NC,449999.0
47906,West Lafayette,IN,284900.0
08753,Toms River,NJ,779000.0
92336,Fontana,CA,500000.0
60634,Chicago,IL,359950.0
30188,Woodstock,GA,424550.0
46307,Crown Point,IN,394500.0
75228,Dallas,TX,365500.0
27406,Greensboro,NC,258885.0
98103,Seattle,WA,867249.5
77450,Cinco Ranch,TX,369900.0
99301,Pasco,WA,392400.0
77845,College Station,TX,381600.0
20011,Washington,DC,724500.0
29732,Rock Hill,SC,379900.0
90019,Los Angeles,CA,1277450.0
60016,Des Plaines,IL,350000.0
76244,Fort Worth,TX,374500.0
28314,Fayetteville,NC,218200.0
27610,Raleigh,NC,452450.0
77095,Houston,TX,319950.0
87120,Albuquerque,NM,333990.0
92503,Riverside,CA,595000.0
30318,Atlanta,GA,509950.0
28078,Huntersville,NC,379900.0
23320,Chesapeake,VA,424205.0
43230,Gahanna,OH,331400.0
89117,Las Vegas,NV,545000.0
34135,Bonita Springs,FL,474950.0
92592,Temecula,CA,580000.0
91730,Rancho Cucamonga,CA,512500.0
30080,Smyrna,GA,464900.0
74012,Broken Arrow,OK,245000.0
21117,Owings Mills,MD,489900.0
95747,Roseville,CA,589000.0
92109,San Diego,CA,1275000.0
30052,Loganville,GA,355345.0
30041,Cumming,GA,465000.0
92101,San Diego,CA,1154900.0
34711,Clermont,FL,359945.0
32218,Jacksonville,FL,316330.0
07093,West New York,NJ,874000.0
33186,The Crossings,FL,449000.0
32256,Jacksonville,FL,398900.0
30062,Marietta,GA,432950.0
78641,Leander,TX,486990.0
48103,Ann Arbor,MI,526497.5
30331,Atlanta,GA,363832.0
02155,Medford,MA,699000.0
38401,Columbia,TN,425500.0
37130,Murfreesboro,TN,424900.0
11372,New York,NY,779500.0
43026,Hilliard,OH,352990.0
80634,Greeley,CO,439900.0
89052,Henderson,NV,535000.0
29072,Lexington,SC,279900.0
93065,Simi Valley,CA,889900.0
23454,Virginia Beach,VA,499900.0
75206,Dallas,TX,499900.0
45840,Findlay,OH,289900.0
75035,Frisco,TX,499990.0
20001,Washington,DC,799000.0
92627,Costa Mesa,CA,1199900.0
33064,Pompano Beach,FL,1187000.0
32174,Ormond Beach,FL,363000.0
02360,Plymouth,MA,721950.0
30022,Johns Creek,GA,577000.0
23666,Hampton,VA,384900.0
20878,Gaithersburg,MD,749900.0
72401,Jonesboro,AR,229900.0
11218,New York,NY,922500.0
33027,Miramar,FL,475000.0
11223,New York,NY,865000.0
34953,Port Saint Lucie,FL,321000.0
08831,Monroe,NJ,699900.0
58103,Fargo,ND,332100.0
43701,Zanesville,OH,224450.0
90027,Los Angeles,CA,1798800.0
90025,Los Angeles,CA,1150000.0
44077,Painesville,OH,304000.0
10021,New York,NY,2157500.0
91710,Chino,CA,568400.0
20147,Ashburn,VA,672990.0
77082,Houston,TX,557500.0
60616,Chicago,IL,425000.0
55901,Rochester,MN,339900.0
30004,Milton,GA,665000.0
30127,Powder Springs,GA,424900.0
29730,Rock Hill,SC,358450.0
23452,Virginia Beach,VA,489500.0
77840,College Station,TX,379900.0
93727,Fresno,CA,353785.0
71913,Hot Springs,AR,349900.0
80015,Aurora,CO,549000.0
29464,Mount Pleasant,SC,696500.0
27713,Durham,NC,400000.0
80525,Fort Collins,CO,520000.0
37128,Murfreesboro,TN,384900.0
32225,Jacksonville,FL,397000.0
95687,Vacaville,CA,600950.0
27284,Kernersville,NC,279000.0
63123,Affton,MO,316450.0
40601,Frankfort,KY,255000.0
85251,Scottsdale,AZ,514900.0
60622,Chicago,IL,574373.5
33319,Lauderhill,FL,428000.0
73160,Moore,OK,269900.0
77007,Houston,TX,456000.0
98115,Seattle,WA,899000.0
77057,Houston,TX,669500.0
32828,Orlando,FL,349900.0
89123,Las Vegas,NV,408499.5
07087,Union City,NJ,699999.0
60615,Chicago,IL,499925.0
30135,Douglasville,GA,372417.0
45601,Chillicothe,OH,210000.0
27703,Durham,NC,372500.0
23451,Virginia Beach,VA,589350.0
14221,Amherst,NY,297000.0
19446,Lansdale,PA,397375.0
98682,Vancouver,WA,549900.0
76116,Fort Worth,TX,420000.0
89031,North Las Vegas,NV,366240.0
21122,Pasadena,MD,515990.0
93306,Bakersfield,CA,325000.0
78249,San Antonio,TX,302990.0
37064,Franklin,TN,639900.0
60641,Chicago,IL,449900.0
75043,Garland,TX,368950.0
14580,Webster,NY,298950.0
60453,Oak Lawn,IL,339900.0
19020,Bensalem,PA,389000.0
60660,Chicago,IL,449450.0
11204,New York,NY,754000.0
93257,Porterville,CA,325000.0
19720,New Castle,DE,460000.0
27707,Durham,NC,487500.0
66061,Olathe,KS,415000.0
31419,Savannah,GA,299375.0
93274,Tulare,CA,312050.0
33467,Greenacres,FL,473495.0
77521,Baytown,TX,383500.0
85282,Tempe,AZ,397450.0
10032,New York,NY,799000.0
22204,Arlington,VA,725000.0
93309,Bakersfield,CA,338000.0
93230,Hanford,CA,310700.0
37122,Mount Juliet,TN,440450.0
75002,Allen,TX,649950.0
92630,Lake Forest,CA,1067444.0
46143,Greenwood,IN,290000.0
60056,Mount Prospect,IL,369950.0
29223,Columbia,SC,317250.0
98133,Shoreline,WA,754500.0
33157,Village of Palmetto Bay,FL,595000.0
32246,Jacksonville,FL,388490.0
29681,Simpsonville,SC,326900.0
31088,Warner Robins,GA,249900.0
85142,Queen Creek,AZ,450000.0
28216,Charlotte,NC,399900.0
28601,Hickory,NC,319900.0
37167,Smyrna,TN,397400.0
30253,McDonough,GA,420200.0
32792,Winter Park,FL,410000.0
38655,Oxford,MS,420320.0
36117,Montgomery,AL,252000.0
90631,La Habra,CA,1269495.0
99208,Spokane,WA,414900.0
48823,East Lansing,MI,320000.0
30909,Augusta,GA,240500.0
37066,Gallatin,TN,472350.0
63021,Ballwin,MO,369900.0
98122,Seattle,WA,915000.0
32608,Gainesville,FL,379000.0
27705,Durham,NC,425000.0
28205,Charlotte,NC,449975.0
