lat,lng,median_home_value,median_household_income,occupied_housing_units,population,Zip,City,State,Median_Home_Value_Z,Top_Tier_Median_Home_Value,Bottom_Tier_Median_Home_Value
40.8,-73.97,934600.0,68516.0,44432.0,94600.0,10025,New York,NY,1167725.0,1300000.0,0.0
41.94,-87.66,392500.0,75885.0,37865.0,65996.0,60657,Chicago,IL,450000.0,585000.0,0.0
29.74,-95.84,262100.0,126425.0,19282.0,61600.0,77494,Katy,TX,364575.0,399900.0,0.0
41.92,-87.65,489300.0,86215.0,34850.0,66617.0,60614,Chicago,IL,695000.0,799000.0,0.0
31.78,-106.31,121700.0,52024.0,34452.0,111086.0,79936,El Paso,TX,146500.0,220000.0,96750.0
29.83,-95.73,118500.0,65420.0,27742.0,94382.0,77449,Katy,TX,198000.0,0.0,150000.0
29.83,-95.66,124300.0,62785.0,31473.0,95137.0,77084,Houston,TX,190000.0,0.0,149000.0
40.72,-73.99,535600.0,33218.0,32925.0,81410.0,10002,New York,NY,1580000.0,1625000.0,0.0
41.97,-87.66,266900.0,46974.0,34315.0,65790.0,60640,Chicago,IL,274900.0,410000.0,134900.0
37.79,-122.42,723200.0,60722.0,33342.0,55984.0,94109,San Francisco,CA,1035000.0,2270000.0,0.0
40.65,-73.96,480500.0,40734.0,36101.0,101572.0,11226,New York,NY,599500.0,829500.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,00926,San Juan,AL,160000.0,0.0,0.0
40.74,-73.97,759600.0,105324.0,32173.0,54183.0,10016,New York,NY,1449500.0,1505000.0,0.0
36.05,-86.64,147200.0,47455.0,30473.0,78406.0,37013,Nashville,TN,220900.0,0.0,171750.0
28.92,-82.0,221700.0,56133.0,24911.0,45180.0,32162,The Villages,FL,279900.0,349900.0,199900.0
40.72,-73.85,358300.0,72000.0,32547.0,68733.0,11375,New York,NY,532250.0,995000.0,278500.0
40.58,-73.95,531000.0,41639.0,33886.0,79132.0,11235,New York,NY,599000.0,936499.5,259000.0
30.43,-97.6,165700.0,76007.0,22847.0,68789.0,78660,Pflugerville,TX,273990.0,0.0,227588.0
33.91,-118.35,397500.0,45995.0,31087.0,93193.0,90250,Hawthorne,CA,629000.0,0.0,0.0
41.92,-87.7,333000.0,51675.0,34330.0,87291.0,60647,Chicago,IL,475000.0,539000.0,0.0
36.07,-86.72,164400.0,43251.0,29260.0,74755.0,37211,Nashville,TN,287000.0,402874.5,0.0
40.79,-73.95,787000.0,31888.0,29378.0,76003.0,10029,New York,NY,880000.0,921500.0,0.0
40.73,-73.98,672800.0,59929.0,30182.0,61347.0,10009,New York,NY,1645000.0,1950000.0,0.0
41.95,-87.7,336300.0,55577.0,35407.0,92084.0,60618,Chicago,IL,472450.0,549650.0,0.0
29.5,-95.09,182300.0,92559.0,25444.0,71580.0,77573,League City,TX,309900.0,349900.0,0.0
29.54,-95.35,189600.0,94103.0,23722.0,70228.0,77584,Pearland,TX,294500.0,349450.0,0.0
35.34,-80.79,164100.0,60070.0,27076.0,71048.0,28269,Charlotte,NC,216460.0,330000.0,135000.0
38.91,-76.98,428500.0,65000.0,22973.0,52370.0,20002,Washington,DC,649700.0,729949.5,0.0
29.7,-98.1,152000.0,54672.0,21864.0,59546.0,78130,New Braunfels,TX,253000.0,303749.5,0.0
33.6,-84.5,126400.0,43498.0,25422.0,67602.0,30349,Riverdale,GA,179875.0,374495.0,120000.0
26.2,-98.4,78200.0,37735.0,22742.0,75221.0,78572,Mission,TX,200000.0,0.0,0.0
38.0,-121.9,213300.0,55255.0,25761.0,84641.0,94565,Pittsburg,CA,425000.0,0.0,425000.0
31.85,-106.54,171800.0,59174.0,29235.0,77161.0,79912,El Paso,TX,228700.0,249835.0,0.0
34.11,-118.37,873100.0,52641.0,28534.0,48581.0,90046,Los Angeles,CA,1749999.0,1999000.0,0.0
30.5,-97.82,198900.0,81928.0,23069.0,65099.0,78613,Cedar Park,TX,317817.5,493990.0,234900.0
32.65,-97.02,134300.0,66744.0,28598.0,88996.0,75052,Grand Prairie,TX,238250.0,355000.0,170000.0
38.92,-77.04,539400.0,88684.0,26825.0,47992.0,20009,Washington,DC,567000.0,799555.0,257400.0
36.6,-87.4,121700.0,46477.0,24404.0,66916.0,37042,Clarksville,TN,176900.0,239900.0,100000.0
