"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11"
"79936","El Paso","TX","El Paso","El Paso County",1,88686,88950,89250,89250,86900,84450,85000,87950,89700,89500,88000,88250,89500,81675,86450,85945,86450,86000,86450,86000,86000,85495,85000,85945,85900,81450,82725,80000,87550,84950,84900,84900,84000,84450,86000,85000,84950,84750,85000,87000,88500,88193.5,89650,89250,89900,88950,89900,88800,86000,84450,83000,86999,86000,87625,87343.5,86800,88000,85750,79900,85000,88000,88000,85700,83900,84450,82156.5,83249.5,84950,83000,82500,82500,84000,87400,87200,86900,87450,86900,86900,87900,88000,89000,88750,89000,87500,89000,89000,89625,91200,89700,92510,94925,94900,91413,93550,88000,92300,92475,93925,89027,95000,95500,93075,95000,94900,95500,98000,96750
"77449","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",2,94900,94000,94900,94900,94000,94000,93900,92900,94500,92900,92500,89900,89000,86750,87500,88000,88000,88750,87900,89900,89000,85000,84900,84900,84900,85000,85000,84500,84900,83500,84900,84500,86000,86100,89000,89000,89900,89000,88000,89900,89900,90000,89945,92250,95000,97800,97850,99950,99900,95500,97800,99151,99900,105000,105000,104900,1e+05,95000,98250,105000,107960,112500,114947,112400,112500,114900,113500,117750,115000,118000,118000,120000,119700,117950,124900,124100,125000,125000,127500,125000,124900,126500,125000,120000,122500,125000,132450,139000,139900,139871,139000,138445,138950,139400,139900,143900,144450,139900,140000,142443,145000,145000,149000,149450,150000,149500,150000
"77084","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",3,89900,89900,93300,95000,95000,97010,95000,96000,94900,92000,91000,87900,87230,87000,87000,87200,89000,89900,89900,89900,89500,87500,85500,87950,87000,84900,83000,84500,84000,82000,80000,84200,82490,84572.5,85000,84950,84900,86700,88200,88500,88000,90000,91300,94900,95000,94900,99700,95000,99000,1e+05,104000,98000,103000,105000,105000,103250,104200,1e+05,103400,103400,103000,103995,99999.5,108500,116900,117500,114925,116900,116950,119900,119900,119900,119250,120000,125000,124450,125000,125000,129450,128500,128000,130000,130000,134500,134000,130000,130000,134500,135000,135700,135700,139600,139900,129900,115250,120000,125000,129950,135000,139700,145000,145000,145000,147900,145900,145000,149000
"10467","New York","NY","New York-Newark-Jersey City","Bronx County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132000,135000,135000,125000,125000,122500,126000,127500,128250,135000,127500,137499.5,134999,132499.5,134999,130000,129000,132000,134999,130000,125000,125000,125000,120000,135000,130000,125000,125000,129000,135000,135000,135000,133000,149900,145500,160000,133900,144950,145000,160000,146900,148400,172499.5,172499.5,155000,149000,155000,160000,164500
"60640","Chicago","IL","Chicago-Naperville-Elgin","Cook County",5,125000,125000,125500,127000,122900,119450,119000,117500,114870.5,109900,108000,109500,114950,107000,109000,103000,98000,98000,95000,93500,89000,84900,86950,85000,79900,79900,80590,79900,79900,84900,84900,83900,89900,89900,82500,89000,89000,91000,83750,91250,98900,89900,92050,89450,89000,98750,99900,99900,94950,97000,99000,99900,99900,104950,105000,104000,109900,108500,106500,105000,110000,109000,109450,109000,113900,109000,109000,109000,109900,109450,109900,110000,107450,114900,115000,110000,112750,115000,124950,124700,125000,125000,125000,125000,119000,125000,119900,119900,119900,125000,124900,128500,129000,129000,126950,126900,129500,126900,125000,131450,129500,129900,129900,130000,139900,132450,134900
"37013","Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County",6,99500,99700,1e+05,101000,99900,97900,97500,97000,97250,99500,94990,95500,90000,89900,90000,89990,89900,89900,89000,85250,85000,86750,80000,80950,79900,79900,77450,79997,83900,79900,81250,81250,79997,82650,79900,85000,80000,80500,80000,79900,81450,84900,84000,83900,84900,85500,84900,84900,89900,89900,90300,91250,93750,95000,104900,109000,105000,104900,98750,107000,109900,110000,109900,114500,118050,118500,115000,111400,117900,119900,114920.5,114900,119900,120000,128988,128244,124900,126400,134000,135000,135250,139950,141450,139900,135900,139728,142000,148900,150000,149900,149900,150000,154999.5,155000,159999,159900,159972,163495,160000,163495,164900,164950,166245,169400,172700,174900,171750
"32162","The Villages","FL","The Villages","Sumter County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179900,179950,180500,179900,179995,184900,183900,184900,184500,184500,187650,184900,186250,184850,185000,186200,188850,189000,189700,189000,189000,185000,185000,187777,187500,184500,186250,186200,184900,184900,189900,189900,189900,195750,189900,194250,197000,199900,199900,199900,199900
"11375","New York","NY","New York-Newark-Jersey City","Queens County",8,230000,224000,219000,219000,219000,218000,215000,215000,212000,210000,209000,209000,209000,209000,209000,204000,205000,2e+05,205000,205000,208000,209000,205000,199000,199000,206000,205000,209000,208000,2e+05,199000,202500,205000,205000,199000,199000,199000,199000,199000,205000,199000,199000,199000,199000,199000,199616.5,199000,199000,208000,210000,2e+05,199000,209000,210000,210000,210000,215000,216444,217000,219000,219000,215888,219000,226500,220000,226250,229000,225000,225000,224950,228000,239888,242500,239000,239000,239999,240000,249000,249000,252000,249000,259000,258944,251000,252000,259000,255500,259000,259250,268000,269000,269000,269000,268500,268500,269000,269000,268000,270000,275000,279000,278900,275000,269000,269000,269000,278500
"11235","New York","NY","New York-Newark-Jersey City","Kings County",9,189000,189000,189995,199000,199000,199000,190000,198500,189999.5,189999,184000,189000,186000,188500,185000,179950,179450,185000,186000,190000,189000,189000,189000,189000,185000,189000,184000,184000,179999.5,179999,179000,179000,189000,185000,184500,184944,189000,189000,185000,182500,179000,175000,179499.5,180000,178500,189000,183750,179450,189000,187000,189000,191500,189000,189000,185000,189000,189000,185000,189000,189000,189000,189000,189000,195000,199000,199500,202500,199500,199000,2e+05,210000,212497.5,209950,205000,199500,2e+05,202500,206500,201500,221750,219000,203000,2e+05,2e+05,205000,209500,240000,249999.5,249499.5,249000,249500,259500,250000,254500,259450,251750,252500,250000,250000,259000,262450,264950,264900,264950,260000,259000,259000
"78660","Pflugerville","TX","Austin-Round Rock","Travis County",10,135500,135000,135945,137700,138400,137500,135000,134900,135000,135000,135000,134240,134900,134900,134900,134900,130500,134900,129999,129900,129900,128900,127745,127999,129900,132000,129900,128000,128000,129900,133900,134000,132795,131900,130000,132900,135000,136317.5,138249.5,139995,142700,143450,141250,140000,140750,142250,146000,148500,149250,149900,149900,153175,155000,152000,155000,156000,157000,164000,166250,161500,165000,165000,163950,167500,165000,164950,172000,175000,175000,180000,179945,180000,179995,179950,185000,185000,185000,190000,194900,198000,199499.5,199000,199000,199900,2e+05,2e+05,209990,209752,209000,210000,209450,207500,209900,206248.5,211850,210900,214990,218794,220990,220000,224000,225000,225405,228900,227990,229905,227588
"28269","Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",11,89900,89950,94500,90000,89900,89450,89000,88000,88450,86600,84900,83000,80000,76500,79450,75000,75000,75000,75000,75000,74400,74197.5,74400,72950,71900,69900,70000,70000,69950,72500,73000,74000,70000,74000,74350,74900,74800,74700,73000,74700,74700,78250,78500,78900,79000,77500,75000,77900,79090,79180,79900,85000,84900,81500,79900,89000,88000,84950,84950,90000,89900,90000,89950,89997,92900,95000,95000,95000,99900,94500,92000,92900,94900,1e+05,98500,98500,105000,104350,102500,100900,1e+05,104500,107700,103890,1e+05,107900,112844.5,114900,114900,120000,120000,123000,125000,125000,125000,125000,125000,122500,125000,130000,129900,134450,134950,135000,139900,138900,135000
"30349","Riverdale","GA","Atlanta-Sandy Springs-Roswell","Clayton County",12,69975,72751,69900,60000,60000,56000,55000,56000,55000,55000,54500,52000,51500,51500,47500,43000,44900,45000,44000,44900,44000,45000,45600,45000,44900,42900,40000,40000,42700,42900,45000,44900,44950,45000,45000,49250,45000,43000,45000,49000,50000,49900,50000,50000,55000,59949.5,59949.5,59900,59900,60000,59900,59900,62900,63500,64500,65000,65000,65000,68500,69000,69000,69900,69900,69900,69900,68000,69900,69900,68000,69000,69900,70000,66000,70000,74900,75000,75000,78000,82900,85000,81000,82000,87700,89950,90000,95000,94900,94950,97000,97500,99500,99900,99900,102000,99999,1e+05,1e+05,110000,110000,109000,110000,110000,115000,114650,115000,117000,120000
"94565","Pittsburg","CA","San Francisco-Oakland-Hayward","Contra Costa County",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324900,325000,319000,315000,299925,3e+05,309950,319000,315000,325000,329945,325000,329900,325000,332845,330000,337500,337000,340000,330000,344900,355000,365500,369000,379450,370000,373000,375000,375000,379800,385000,385000,385000,379000,387000,399000,392500,399925,402500,4e+05,409900,414900,415000,418081,420000,414900,419950,435000,440000,439900,440000,445000,435000,429000,429900,425000
"78613","Cedar Park","TX","Austin-Round Rock","Williamson County",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169000,159000,169950,171000,177000,175000,179950,179900,179450,186750,179250,184000,186500,187500,187500,190000,198000,199000,199900,199900,199999,204325,205000,208450,209000,209950,210000,215000,219000,219000,219000,219000,219000,219900,222888,225000,219950,223444,224000,225000,229000,234990,230000,232000,234900
