Zip,City,State,2018-11
10025,New York,NY,1167725.0
60657,Chicago,IL,450000.0
77494,Katy,TX,364575.0
60614,Chicago,IL,695000.0
79936,El Paso,TX,146500.0
77449,Katy,TX,198000.0
77084,Houston,TX,190000.0
10002,New York,NY,1580000.0
60640,Chicago,IL,274900.0
94109,San Francisco,CA,1035000.0
11226,New York,NY,599500.0
0926,San Juan,AL,160000.0
10016,New York,NY,1449500.0
37013,Nashville,TN,220900.0
32162,The Villages,FL,279900.0
11375,New York,NY,532250.0
11235,New York,NY,599000.0
78660,Pflugerville,TX,273990.0
90250,Hawthorne,CA,629000.0
60647,Chicago,IL,475000.0
37211,Nashville,TN,287000.0
10029,New York,NY,880000.0
10009,New York,NY,1645000.0
60618,Chicago,IL,472450.0
77573,League City,TX,309900.0
77584,Pearland,TX,294500.0
28269,Charlotte,NC,216460.0
20002,Washington,DC,649700.0
78130,New Braunfels,TX,253000.0
30349,Riverdale,GA,179875.0
78572,Mission,TX,200000.0
94565,Pittsburg,CA,425000.0
79912,El Paso,TX,228700.0
90046,Los Angeles,CA,1749999.0
78613,Cedar Park,TX,317817.5
75052,Grand Prairie,TX,238250.0
20009,Washington,DC,567000.0
37042,Clarksville,TN,176900.0
10462,New York,NY,185000.0
77433,Cypress,TX,325990.0
73099,Yukon,OK,209965.0
77429,Cypress,TX,305000.0
77479,Sugar Land,TX,435990.0
11206,New York,NY,697500.0
63376,Saint Peters,MO,216900.0
60613,Chicago,IL,315000.0
30044,Lawrenceville,GA,224900.0
11230,New York,NY,615000.0
10463,New York,NY,342250.0
30043,Lawrenceville,GA,262900.0
60629,Chicago,IL,189450.0
60625,Chicago,IL,325000.0
07030,Hoboken,NJ,789499.5
28277,Charlotte,NC,364950.0
75287,Dallas,TX,330000.0
85032,Phoenix,AZ,273900.0
78704,Austin,TX,599000.0
33160,Sunny Isles Beach,FL,728000.0
77077,Houston,TX,349900.0
78245,San Antonio,TX,229500.0
21234,Parkville,MD,215000.0
23464,Virginia Beach,VA,256049.5
30096,Duluth,GA,263950.0
78521,Brownsville,TX,125450.0
75243,Dallas,TX,269450.0
11214,New York,NY,679000.0
98052,Redmond,WA,782500.0
94501,Alameda,CA,855000.0
08701,Lakewood,NJ,299900.0
11221,New York,NY,729000.0
60610,Chicago,IL,499999.5
11207,New York,NY,490000.0
11229,New York,NY,662875.0
77379,Tomball,TX,299990.0
78666,San Marcos,TX,274900.0
10019,New York,NY,1650000.0
30024,Suwanee,GA,395000.0
94110,San Francisco,CA,1299000.0
60619,Chicago,IL,123582.0
33139,Miami Beach,FL,435000.0
33411,Royal Palm Beach,FL,319900.0
44107,Lakewood,OH,187887.5
78745,Austin,TX,328000.0
75067,Lewisville,TX,280000.0
33025,Miramar,FL,240000.0
48197,Ypsilanti,MI,235000.0
02169,Quincy,MA,444900.0
66062,Olathe,KS,315000.0
23462,Virginia Beach,VA,219000.0
90044,Los Angeles,CA,435000.0
44035,Elyria,OH,104900.0
95630,Folsom,CA,579945.0
90805,Long Beach,CA,457000.0
90650,Norwalk,CA,489450.0
11234,New York,NY,650000.0
92683,Westminster,CA,679950.0
85710,Tucson,AZ,180950.0
28027,Concord,NC,301450.0
11355,New York,NY,662010.0
60611,Chicago,IL,565000.0
10314,New York,NY,549999.0
37075,Hendersonville,TN,342445.0
60617,Chicago,IL,109900.0
90026,Los Angeles,CA,992500.0
30281,Stockbridge,GA,195450.0
32210,Jacksonville,FL,143000.0
85225,Chandler,AZ,266000.0
11215,New York,NY,1100000.0
94558,Napa,CA,795000.0
11211,New York,NY,1100200.0
80134,Parker,CO,478000.0
91910,Chula Vista,CA,548900.0
87114,Albuquerque,NM,233900.0
06010,Bristol,CT,189900.0
78240,San Antonio,TX,209950.0
17603,Lancaster,PA,214000.0
85308,Glendale,AZ,294949.5
89108,Las Vegas,NV,229000.0
93722,Fresno,CA,260000.0
85281,Tempe,AZ,279949.5
87111,Albuquerque,NM,287000.0
48180,Taylor,MI,102445.0
0725,Caguas,NM,110000.0
94533,Fairfield,CA,373450.0
43081,Westerville,OH,259950.0
43055,Newark,OH,139900.0
15601,Greensburg,PA,172700.0
95608,Carmichael,CA,435000.0
44060,Mentor,OH,174900.0
97229,Portland,OR,569891.5
11238,New York,NY,1185000.0
85364,Yuma,AZ,200000.0
